datum,plan,vylozene,plan_virt,vylozene_virt
2026-02-03,9,7,0,2
2026-02-04,96,96,1,1
2026-02-05,148,121,1,1
2026-02-06,48,48,0,0
2026-02-07,155,158,2,0
2026-02-09,105,101,1,0
2026-02-10,184,186,3,4
2026-02-11,187,179,0,0
2026-02-12,261,255,0,0
2026-02-13,81,46,2,2
2026-02-14,279,266,0,0
2026-02-16,251,253,0,0
2026-02-17,264,256,2,0
2026-02-18,420,403,1,1
2026-02-19,328,317,0,0
2026-02-20,441,412,0,0
2026-02-23,398,348,3,1
2026-02-24,334,309,3,3
2026-02-25,464,450,2,4
2026-02-26,429,427,0,0
2026-02-27,427,402,4,4
2026-03-02,746,728,1,1
2026-03-03,720,696,1,1
2026-03-04,748,725,0,0
2026-03-05,757,721,1,1
2026-03-06,750,700,6,0
2026-03-09,721,696,4,3
2026-03-10,721,651,0,0
2026-03-11,708,648,2,3
2026-03-12,735,669,1,3
2026-03-13,750,723,1,1
2026-03-16,760,680,1,0
2026-03-17,727,622,3,3
2026-03-18,721,640,2,2
2026-03-19,745,713,3,2
2026-03-20,742,697,8,4
2026-03-23,721,640,1,1
2026-03-24,739,613,4,3
2026-03-25,724,618,1,0
2026-03-26,727,653,0,0
2026-03-27,752,663,1,0
2026-03-30,840,795,0,2
2026-03-31,824,798,1,1
2026-04-01,829,763,1,3
2026-04-02,838,759,4,5
2026-04-03,367,317,1,1
2026-04-06,1,0,1,0
2026-04-07,762,652,3,1
2026-04-08,732,656,1,3
2026-04-09,762,749,1,0
2026-04-10,815,735,1,2
2026-04-13,732,687,2,1
2026-04-14,686,603,5,5
2026-04-15,777,729,4,3
2026-04-16,747,680,0,1
2026-04-17,715,621,3,3
2026-04-20,744,725,1,0
2026-04-21,734,709,0,0
2026-04-22,735,721,4,3
2026-04-23,860,815,3,3
2026-04-24,850,819,3,2
2026-04-27,875,841,2,1
2026-04-28,890,779,0,0
2026-04-29,871,839,3,4
2026-04-30,778,747,3,1
2026-05-01,655,570,1,0
2026-05-04,665,597,3,2
2026-05-05,700,632,1,1
2026-05-06,792,709,1,1
2026-05-07,871,802,5,6
2026-05-08,373,294,0,0
2026-05-11,725,667,6,5
2026-05-12,742,640,3,2
2026-05-13,779,701,2,1
2026-05-14,780,687,5,2
2026-05-15,781,730,3,3
2026-05-18,786,754,1,1
2026-05-19,747,728,5,5
2026-05-20,778,637,6,5
2026-05-21,782,696,1,1
2026-05-22,792,756,0,1
2026-05-25,787,701,1,1
2026-05-26,747,713,0,1
2026-05-27,788,738,3,4
2026-05-28,823,736,1,1
2026-05-29,877,781,0,0
2026-06-01,842,731,1,1
2026-06-02,915,824,0,1
2026-06-03,883,782,2,1
2026-06-04,871,835,2,2
2026-06-05,891,779,1,1
2026-06-08,895,844,0,0
2026-06-09,917,853,3,2
2026-06-10,957,874,2,0
2026-06-11,916,865,4,4
2026-06-12,850,727,1,1
2026-06-15,974,908,2,2
2026-06-16,874,775,3,2
2026-06-17,938,866,1,3
2026-06-18,938,848,5,5
2026-06-19,843,812,4,5
2026-06-22,933,821,1,0
2026-06-23,903,775,2,1
2026-06-24,793,729,3,3
2026-06-25,947,943,3,3
2026-06-26,948,896,2,2
2026-06-29,909,823,6,4
2026-06-30,934,873,8,4
2026-07-01,654,602,6,1
2026-07-02,733,689,1,1
2026-07-03,708,700,7,8
2026-07-06,56,56,0,0
2026-07-07,628,573,3,2
2026-07-08,530,509,3,3
2026-07-09,740,727,2,2
2026-07-10,739,694,2,1
2026-07-13,868,846,4,3
2026-07-14,645,623,6,4
2026-07-15,722,634,5,3
2026-07-16,916,885,7,3
2026-07-17,931,909,6,5
2026-07-20,668,615,5,1
2026-07-21,675,615,3,2
2026-07-22,754,663,5,4
2026-07-23,795,732,4,2
2026-07-24,728,676,12,12
2026-07-27,696,671,5,5
2026-07-28,476,455,7,7
2026-07-29,729,640,7,7
2026-07-30,666,627,3,4
2026-07-31,624,589,3,2
2026-08-03,669,642,3,2
2026-08-04,651,621,5,1
2026-08-05,572,498,3,1
2026-08-06,713,683,3,1
2026-08-07,751,702,4,0
2026-08-10,627,593,1,0
2026-08-11,706,666,3,2
2026-08-12,685,641,7,3
2026-08-13,694,573,4,0
2026-08-14,905,0,3,0
2026-08-17,622,0,0,0
2026-08-18,550,0,1,0
2026-08-19,497,0,0,0
2026-08-20,427,0,0,0
2026-08-21,537,0,0,0
