datum,protistrana,geosize,joblines
2026-02-28,Anděl,SPO,25
2026-02-28,Anděl,BPO,10
2026-02-28,Anděl,XPO,1
2026-02-28,Benešov,SPO,17
2026-02-28,Benešov,BPO,2
2026-02-28,Beroun,SPO,4
2026-02-28,Beroun,BPO,1
2026-02-28,Beroun,XPO,1
2026-02-28,Brno,SPO,27
2026-02-28,Brno,BPO,5
2026-02-28,Brno,XPO,3
2026-02-28,Brno Lískovec,SPO,21
2026-02-28,Brno Lískovec,BPO,5
2026-02-28,Brno Lískovec,XPO,1
2026-02-28,Budějovická,SPO,23
2026-02-28,Budějovická,BPO,7
2026-02-28,Chomutov,SPO,10
2026-02-28,Děčín,SPO,18
2026-02-28,Frýdek-Místek,SPO,13
2026-02-28,Frýdek-Místek,XPO,1
2026-02-28,Hradec,SPO,47
2026-02-28,Hradec,XPO,5
2026-02-28,Háje,SPO,27
2026-02-28,Háje,BPO,3
2026-02-28,Háje,XPO,2
2026-02-28,Jihlava,SPO,22
2026-02-28,Jihlava,BPO,3
2026-02-28,Karlovy Vary,SPO,24
2026-02-28,Karlovy Vary,BPO,5
2026-02-28,Karlovy Vary,XPO,1
2026-02-28,Kladno,SPO,4
2026-02-28,Kladno,XPO,1
2026-02-28,Kolín,SPO,7
2026-02-28,Kolín,BPO,1
2026-02-28,LCS,SPO,266
2026-02-28,LCS,BPO,1
2026-02-28,LCS,XPO,28
2026-02-28,LCU,SPO,3
2026-02-28,LCU,BPO,1
2026-02-28,LCU,XPO,2
2026-02-28,Liberec,SPO,15
2026-02-28,Mladá Boleslav,SPO,17
2026-02-28,Most,SPO,11
2026-02-28,Most,BPO,1
2026-02-28,Mělník,SPO,14
2026-02-28,Mělník,BPO,1
2026-02-28,Olomouc,SPO,22
2026-02-28,Olomouc,BPO,5
2026-02-28,Opava,SPO,3
2026-02-28,Ostrava,SPO,54
2026-02-28,Ostrava,BPO,5
2026-02-28,Ostrava,XPO,3
2026-02-28,Pardubice,SPO,16
2026-02-28,Pardubice,BPO,2
2026-02-28,Pardubice,XPO,2
2026-02-28,Plzeň město,SPO,21
2026-02-28,Plzeň město,BPO,4
2026-02-28,Plzeň město,XPO,1
2026-02-28,Pobočka Chrášťany,SPO,115
2026-02-28,Pobočka Chrášťany,BPO,22
2026-02-28,Pobočka Chrášťany,XPO,4
2026-02-28,Počernice,SPO,8
2026-02-28,Počernice,BPO,4
2026-02-28,Počernice,XPO,2
2026-02-28,Praha - centrála,SPO,149
2026-02-28,Praha - centrála,BPO,17
2026-02-28,Praha - centrála,XPO,6
2026-02-28,Prostějov,SPO,4
2026-02-28,Prostějov,BPO,1
2026-02-28,Příbram,SPO,13
2026-02-28,Příbram,BPO,1
2026-02-28,SKLC3,SPO,501
2026-02-28,SKLC3,BPO,243
2026-02-28,SKLC3,XPO,16
2026-02-28,Tábor,SPO,14
2026-02-28,Tábor,BPO,1
2026-02-28,Tábor,XPO,2
2026-02-28,Zlín,SPO,17
2026-02-28,Zlín,BPO,1
2026-02-28,Zlín,XPO,1
2026-02-28,Ústí nad Labem,SPO,12
2026-02-28,Ústí nad Labem,BPO,6
2026-02-28,Ústí nad Labem,XPO,1
2026-02-28,Čakovice,SPO,33
2026-02-28,Čakovice,BPO,3
2026-02-28,Čakovice,XPO,2
2026-02-28,České Budějovice,SPO,18
2026-02-28,České Budějovice,BPO,4
2026-03-01,Anděl,SPO,43
2026-03-01,Anděl,BPO,1
2026-03-01,Benešov,SPO,2
2026-03-01,Benešov,BPO,1
2026-03-01,Beroun,SPO,10
2026-03-01,Beroun,BPO,1
2026-03-01,Brno,SPO,27
2026-03-01,Brno,BPO,1
2026-03-01,Brno Lískovec,SPO,21
2026-03-01,Brno Lískovec,BPO,1
2026-03-01,Brno Lískovec,XPO,1
2026-03-01,Budějovická,SPO,25
2026-03-01,Budějovická,BPO,3
2026-03-01,Budějovická,XPO,2
2026-03-01,Chomutov,SPO,1
2026-03-01,Dejvice,SPO,4
2026-03-01,Děčín,SPO,15
2026-03-01,Děčín,BPO,1
2026-03-01,Frýdek-Místek,SPO,11
2026-03-01,Frýdek-Místek,BPO,1
2026-03-01,HULC1,BPO,1
2026-03-01,Hradec,SPO,12
2026-03-01,Hradec,BPO,4
2026-03-01,Háje,SPO,30
2026-03-01,Háje,BPO,6
2026-03-01,Háje,XPO,3
2026-03-01,Jihlava,SPO,29
2026-03-01,Jihlava,BPO,3
2026-03-01,Jihlava,XPO,2
2026-03-01,Karlovy Vary,SPO,15
2026-03-01,Kladno,SPO,1
2026-03-01,Kladno,BPO,2
2026-03-01,Kolín,SPO,1
2026-03-01,LCS,SPO,259
2026-03-01,LCS,BPO,26
2026-03-01,LCS,XPO,12
2026-03-01,LCU,SPO,7
2026-03-01,Liberec,SPO,22
2026-03-01,Liberec,XPO,1
2026-03-01,Mladá Boleslav,SPO,12
2026-03-01,Most,SPO,7
2026-03-01,Most,BPO,2
2026-03-01,Mělník,SPO,13
2026-03-01,Mělník,BPO,1
2026-03-01,Olomouc,SPO,13
2026-03-01,Olomouc,BPO,7
2026-03-01,Opava,SPO,4
2026-03-01,Ostrava,SPO,48
2026-03-01,Ostrava,BPO,7
2026-03-01,Pardubice,SPO,9
2026-03-01,Pardubice,XPO,1
2026-03-01,Plzeň město,SPO,16
2026-03-01,Plzeň město,BPO,2
2026-03-01,Pobočka Chrášťany,SPO,118
2026-03-01,Pobočka Chrášťany,BPO,14
2026-03-01,Pobočka Chrášťany,XPO,5
2026-03-01,Počernice,SPO,6
2026-03-01,Počernice,BPO,2
2026-03-01,Praha - centrála,SPO,128
2026-03-01,Praha - centrála,BPO,10
2026-03-01,Prostějov,SPO,3
2026-03-01,Prostějov,XPO,1
2026-03-01,Příbram,SPO,9
2026-03-01,SKLC3,SPO,125
2026-03-01,SKLC3,BPO,121
2026-03-01,SKLC3,XPO,10
2026-03-01,Tábor,SPO,12
