datum,protistrana,geosize,joblines
2026-02-28,Anděl,SPO,52
2026-02-28,Anděl,BPO,9
2026-02-28,Benešov,SPO,16
2026-02-28,Beroun,SPO,8
2026-02-28,Brno,SPO,74
2026-02-28,Brno,BPO,10
2026-02-28,Brno,XPO,10
2026-02-28,Brno Lískovec,SPO,192
2026-02-28,Brno Lískovec,BPO,20
2026-02-28,Budějovická,SPO,27
2026-02-28,Chomutov,SPO,4
2026-02-28,Dejvice,SPO,18
2026-02-28,Děčín,SPO,1
2026-02-28,Frýdek-Místek,SPO,7
2026-02-28,Hradec,SPO,5
2026-02-28,Háje,SPO,73
2026-02-28,Háje,BPO,4
2026-02-28,Jihlava,SPO,6
2026-02-28,Karlovy Vary,SPO,7
2026-02-28,Kladno,SPO,183
2026-02-28,Kladno,BPO,20
2026-02-28,Kolín,SPO,4
2026-02-28,LCU,XPO,66
2026-02-28,LCU,XL,1
2026-02-28,Liberec,SPO,8
2026-02-28,Mladá Boleslav,SPO,5
2026-02-28,Most,SPO,4
2026-02-28,Mělník,SPO,11
2026-02-28,Olomouc,SPO,9
2026-02-28,Opava,SPO,5
2026-02-28,Ostrava,SPO,109
2026-02-28,Ostrava,BPO,13
2026-02-28,Ostrava,XPO,4
2026-02-28,Pardubice,SPO,12
2026-02-28,Plzeň město,SPO,60
2026-02-28,Plzeň město,BPO,9
2026-02-28,Plzeň město,XPO,4
2026-02-28,Pobočka Chrášťany,SPO,53
2026-02-28,Pobočka Chrášťany,BPO,2
2026-02-28,Počernice,SPO,35
2026-02-28,Počernice,BPO,11
2026-02-28,Počernice,XPO,1
2026-02-28,Praha - centrála,SPO,557
2026-02-28,Praha - centrála,BPO,167
2026-02-28,Praha - centrála,XPO,20
2026-02-28,Prostějov,SPO,3
2026-02-28,Příbram,SPO,4
2026-02-28,SKLC3,SPO,2463
2026-02-28,SKLC3,BPO,447
2026-02-28,SKLC3,XPO,120
2026-02-28,Tábor,SPO,8
2026-02-28,Třebíč,SPO,7
2026-02-28,Zlín,SPO,12
2026-02-28,Ústí nad Labem,SPO,3
2026-02-28,Čakovice,SPO,53
2026-02-28,Čakovice,BPO,25
2026-02-28,Čakovice,XPO,2
2026-02-28,České Budějovice,SPO,7
2026-03-01,Anděl,SPO,31
2026-03-01,Anděl,BPO,8
2026-03-01,Anděl,XPO,2
2026-03-01,Benešov,SPO,8
2026-03-01,Beroun,SPO,7
2026-03-01,Brno,SPO,50
2026-03-01,Brno,BPO,3
2026-03-01,Brno Lískovec,SPO,4
2026-03-01,Budějovická,SPO,10
2026-03-01,Chomutov,SPO,7
2026-03-01,Dejvice,SPO,13
2026-03-01,Děčín,SPO,7
2026-03-01,Frýdek-Místek,SPO,11
2026-03-01,Hradec,SPO,6
2026-03-01,Háje,SPO,23
2026-03-01,Háje,BPO,6
2026-03-01,Jihlava,SPO,3
2026-03-01,Karlovy Vary,SPO,2
2026-03-01,Kladno,SPO,8
2026-03-01,Kolín,SPO,7
2026-03-01,LCU,XPO,91
2026-03-01,LCU,XL,1
2026-03-01,Liberec,SPO,2
2026-03-01,Mladá Boleslav,SPO,9
2026-03-01,Most,SPO,3
2026-03-01,Mělník,SPO,10
2026-03-01,Olomouc,SPO,13
2026-03-01,Olomouc,BPO,1
2026-03-01,Opava,SPO,4
2026-03-01,Ostrava,SPO,373
2026-03-01,Ostrava,BPO,12
2026-03-01,Ostrava,XPO,2
2026-03-01,Pardubice,SPO,4
2026-03-01,Plzeň město,SPO,40
2026-03-01,Plzeň město,BPO,8
2026-03-01,Plzeň město,XPO,5
2026-03-01,Pobočka Chrášťany,SPO,35
2026-03-01,Počernice,SPO,27
2026-03-01,Počernice,BPO,3
2026-03-01,Praha - centrála,SPO,480
2026-03-01,Praha - centrála,BPO,131
2026-03-01,Praha - centrála,XPO,17
2026-03-01,Prostějov,SPO,1
2026-03-01,Příbram,SPO,5
2026-03-01,SKLC3,SPO,10438
2026-03-01,SKLC3,BPO,2606
2026-03-01,SKLC3,XPO,422
2026-03-01,Tábor,SPO,8
2026-03-01,Třebíč,SPO,6
2026-03-01,Zlín,SPO,11
2026-03-01,Ústí nad Labem,SPO,8
2026-03-01,Čakovice,SPO,35
2026-03-01,Čakovice,BPO,30
2026-03-01,České Budějovice,SPO,6
2026-03-02,Anděl,SPO,29
2026-03-02,Anděl,BPO,1
2026-03-02,Benešov,SPO,9
2026-03-02,Beroun,SPO,4
2026-03-02,Brno,SPO,47
2026-03-02,Brno,BPO,3
2026-03-02,Brno,XPO,6
2026-03-02,Brno Lískovec,SPO,6
2026-03-02,Brno Lískovec,BPO,5
2026-03-02,Budějovická,SPO,16
2026-03-02,Chomutov,SPO,4
2026-03-02,Dejvice,SPO,11
2026-03-02,Děčín,SPO,3
2026-03-02,Frýdek-Místek,SPO,6
2026-03-02,Hradec,SPO,2
2026-03-02,Háje,SPO,63
2026-03-02,Háje,BPO,11
2026-03-02,Háje,XPO,1
2026-03-02,Jihlava,SPO,1
2026-03-02,Karlovy Vary,SPO,3
2026-03-02,Kladno,SPO,10
2026-03-02,Kladno,BPO,4
2026-03-02,Kolín,SPO,2
2026-03-02,LCU,XPO,33
2026-03-02,Liberec,SPO,3
2026-03-02,Mladá Boleslav,SPO,1
2026-03-02,Most,SPO,3
2026-03-02,Mělník,SPO,7
2026-03-02,Olomouc,SPO,6
2026-03-02,Olomouc,BPO,1
2026-03-02,Opava,SPO,4
2026-03-02,Ostrava,SPO,79
2026-03-02,Ostrava,BPO,15
2026-03-02,Ostrava,XPO,7
2026-03-02,Pardubice,SPO,4
2026-03-02,Plzeň město,SPO,33
2026-03-02,Pobočka Chrášťany,SPO,44
2026-03-02,Počernice,SPO,25
2026-03-02,Počernice,BPO,2
2026-03-02,Praha - centrála,SPO,398
2026-03-02,Praha - centrála,BPO,74
2026-03-02,Praha - centrála,XPO,15
2026-03-02,Prostějov,BPO,1
2026-03-02,Příbram,SPO,8
2026-03-02,SKLC3,SPO,877
2026-03-02,SKLC3,BPO,146
2026-03-02,SKLC3,XPO,23
2026-03-02,Tábor,SPO,6
2026-03-02,Zlín,SPO,1
2026-03-02,Ústí nad Labem,SPO,4
2026-03-02,Čakovice,SPO,36
2026-03-02,Čakovice,BPO,14
2026-03-02,České Budějovice,SPO,7
2026-03-03,Anděl,SPO,50
2026-03-03,Anděl,BPO,7
2026-03-03,Benešov,SPO,7
2026-03-03,Beroun,SPO,10
2026-03-03,Brno,SPO,57
2026-03-03,Brno,BPO,7
2026-03-03,Brno Lískovec,SPO,9
2026-03-03,Budějovická,SPO,21
2026-03-03,Budějovická,BPO,6
2026-03-03,Chomutov,SPO,4
2026-03-03,Chomutov,BPO,1
2026-03-03,Dejvice,SPO,18
2026-03-03,Děčín,SPO,2
2026-03-03,Frýdek-Místek,SPO,7
2026-03-03,Frýdek-Místek,BPO,1
2026-03-03,Hradec,SPO,3
2026-03-03,Háje,SPO,52
2026-03-03,Háje,BPO,11
2026-03-03,Jihlava,SPO,7
2026-03-03,Karlovy Vary,SPO,2
2026-03-03,Kladno,SPO,4
2026-03-03,Kolín,SPO,5
2026-03-03,LCU,XPO,20
2026-03-03,LCU,XL,1
2026-03-03,Liberec,SPO,2
2026-03-03,Mladá Boleslav,SPO,11
2026-03-03,Most,SPO,3
2026-03-03,Mělník,SPO,7
2026-03-03,Olomouc,SPO,7
2026-03-03,Olomouc,BPO,1
2026-03-03,Opava,SPO,6
2026-03-03,Ostrava,SPO,143
2026-03-03,Ostrava,BPO,20
2026-03-03,Ostrava,XPO,1
2026-03-03,Pardubice,SPO,7
2026-03-03,Plzeň město,SPO,34
2026-03-03,Plzeň město,BPO,6
2026-03-03,Pobočka Chrášťany,SPO,25
2026-03-03,Počernice,SPO,24
2026-03-03,Počernice,BPO,1
2026-03-03,Praha - centrála,SPO,530
2026-03-03,Praha - centrála,BPO,137
2026-03-03,Praha - centrála,XPO,25
2026-03-03,Prostějov,SPO,4
2026-03-03,Příbram,SPO,9
2026-03-03,SKLC3,SPO,2098
2026-03-03,SKLC3,BPO,653
2026-03-03,SKLC3,XPO,54
2026-03-03,Tábor,SPO,8
2026-03-03,Tábor,BPO,1
2026-03-03,Třebíč,SPO,6
2026-03-03,Zlín,SPO,4
2026-03-03,Zlín,BPO,2
2026-03-03,Ústí nad Labem,SPO,4
2026-03-03,Čakovice,SPO,38
2026-03-03,Čakovice,BPO,35
2026-03-03,České Budějovice,SPO,4
2026-03-03,České Budějovice,BPO,1
