datum,plan,vylozene,plan_virt,vylozene_virt
2026-02-03,17,17,0,0
2026-02-04,57,56,125,125
2026-02-05,125,117,47,47
2026-02-06,71,66,185,185
2026-02-07,0,0,66,66
2026-02-09,139,106,310,318
2026-02-10,148,140,264,265
2026-02-11,155,153,254,255
2026-02-12,131,130,234,242
2026-02-13,106,102,354,321
2026-02-14,17,17,164,164
2026-02-16,228,194,278,278
2026-02-17,237,223,329,329
2026-02-18,220,219,322,325
2026-02-19,267,264,367,366
2026-02-20,237,248,164,131
2026-02-21,19,19,0,0
2026-02-23,286,251,377,375
2026-02-24,277,263,298,277
2026-02-25,114,104,353,359
2026-02-26,198,146,344,353
2026-02-27,121,118,351,320
2026-03-02,176,174,213,213
2026-03-03,188,187,235,248
2026-03-04,187,192,377,379
2026-03-05,261,238,385,415
2026-03-06,147,157,236,236
2026-03-09,270,269,225,225
2026-03-10,211,193,173,174
2026-03-11,172,171,255,255
2026-03-12,327,280,233,233
2026-03-13,332,325,204,204
2026-03-14,21,21,0,0
2026-03-16,285,251,212,210
2026-03-17,292,259,277,273
2026-03-18,300,292,255,233
2026-03-19,364,339,256,262
2026-03-20,367,312,237,231
2026-03-21,88,88,0,0
2026-03-23,332,313,341,342
2026-03-24,350,337,230,230
2026-03-25,369,350,384,294
2026-03-26,359,318,383,362
2026-03-27,367,329,398,437
2026-03-28,88,94,201,205
2026-03-30,339,306,277,280
2026-03-31,270,241,343,335
2026-04-01,361,369,253,257
2026-04-02,333,302,186,191
2026-04-03,76,74,0,0
2026-04-04,28,0,0,0
2026-04-07,300,259,68,66
2026-04-08,260,229,254,271
2026-04-09,350,300,369,370
2026-04-10,332,312,376,376
2026-04-11,18,18,0,0
2026-04-13,387,342,123,121
2026-04-14,375,328,223,194
2026-04-15,390,379,161,130
2026-04-16,391,284,317,322
2026-04-17,375,292,54,54
2026-04-18,78,79,0,0
2026-04-20,391,359,231,225
2026-04-21,366,352,199,175
2026-04-22,399,376,245,249
2026-04-23,415,415,285,250
2026-04-24,400,350,351,355
2026-04-25,267,269,41,41
2026-04-27,374,353,405,412
2026-04-28,367,346,340,310
2026-04-29,373,370,360,325
2026-04-30,374,324,396,370
2026-05-01,105,103,118,118
2026-05-02,37,52,112,98
2026-05-04,372,369,274,276
2026-05-05,400,356,347,380
2026-05-06,400,358,384,384
2026-05-07,400,340,297,315
2026-05-11,399,326,248,288
2026-05-12,396,346,279,278
2026-05-13,396,367,398,397
2026-05-14,400,354,321,325
2026-05-15,389,356,265,262
2026-05-16,176,175,0,0
2026-05-18,391,376,189,187
2026-05-19,369,248,293,328
2026-05-20,388,349,383,356
2026-05-21,395,368,339,336
2026-05-22,391,325,397,391
2026-05-23,366,221,0,33
2026-05-25,347,312,135,135
2026-05-26,400,365,212,218
2026-05-27,398,394,379,348
2026-05-28,392,373,379,342
2026-05-29,418,388,389,356
2026-05-30,216,178,270,269
2026-06-01,396,381,265,267
2026-06-02,400,332,262,264
2026-06-03,411,395,240,210
2026-06-04,400,334,275,278
2026-06-05,398,361,323,292
2026-06-06,88,74,0,0
2026-06-08,335,311,282,284
2026-06-09,345,292,271,270
2026-06-10,395,392,400,398
2026-06-11,402,382,176,176
2026-06-12,372,363,145,145
2026-06-13,13,13,0,0
2026-06-15,374,344,272,272
2026-06-16,395,356,340,349
2026-06-17,344,305,374,349
2026-06-18,366,334,380,347
2026-06-19,394,379,293,294
2026-06-20,17,16,0,0
2026-06-22,285,271,327,332
2026-06-23,207,208,167,167
2026-06-24,201,208,195,165
2026-06-25,209,146,213,181
2026-06-26,262,249,150,150
2026-06-27,164,155,99,99
2026-06-29,297,297,68,68
2026-06-30,288,277,191,189
2026-07-01,259,234,195,196
2026-07-02,304,303,205,177
2026-07-03,289,240,184,187
2026-07-04,157,147,117,128
2026-07-06,150,109,95,98
2026-07-07,299,299,252,189
2026-07-08,292,287,220,220
2026-07-09,298,283,231,230
2026-07-10,299,274,261,261
2026-07-11,108,72,182,182
2026-07-13,275,260,229,200
2026-07-14,313,287,263,265
2026-07-15,339,302,291,291
2026-07-16,350,292,297,297
2026-07-17,340,327,291,291
2026-07-18,85,86,232,231
2026-07-20,338,337,292,285
2026-07-21,346,344,282,245
2026-07-22,350,320,287,256
2026-07-23,347,323,361,334
2026-07-24,277,274,364,363
2026-07-25,34,34,251,251
2026-07-27,204,189,345,345
2026-07-28,346,286,388,359
2026-07-29,346,313,425,440
2026-07-30,345,331,392,305
2026-07-31,316,283,389,301
2026-08-01,16,19,388,390
2026-08-03,171,166,391,360
2026-08-04,278,226,304,247
2026-08-05,298,215,400,397
2026-08-06,209,188,398,375
2026-08-07,191,116,321,353
2026-08-08,8,8,0,0
2026-08-10,280,221,225,231
2026-08-11,348,273,348,282
2026-08-12,312,232,378,345
2026-08-13,262,184,381,387
2026-08-14,268,200,393,370
2026-08-17,259,228,300,265
2026-08-18,289,260,332,308
2026-08-19,330,0,193,0
2026-08-20,326,0,376,0
2026-08-21,290,0,297,0
2026-08-24,95,0,27,0
2026-08-25,159,0,51,0
2026-08-26,121,0,33,0
2026-08-27,197,0,129,0
2026-08-28,168,0,129,0
