datum,protistrana,geosize,joblines
2026-02-28,Anděl,XPO,1
2026-02-28,Beroun,XPO,2
2026-02-28,Beroun,XL,1
2026-02-28,Brno,XPO,8
2026-02-28,Brno Lískovec,XPO,1
2026-02-28,Brno Lískovec,VB,1
2026-02-28,Budějovická,XPO,3
2026-02-28,Budějovická,XL,1
2026-02-28,CZLC4,XPO,66
2026-02-28,CZLC4,XL,1
2026-02-28,Dejvice,XPO,1
2026-02-28,Frýdek-Místek,XPO,3
2026-02-28,Frýdek-Místek,VB,1
2026-02-28,HULC1,VB,8
2026-02-28,Hradec,XPO,1
2026-02-28,Háje,XPO,1
2026-02-28,Karlovy Vary,XL,2
2026-02-28,Karlovy Vary,VB,1
2026-02-28,Kolín,XL,1
2026-02-28,LCS,XPO,7
2026-02-28,Liberec,XPO,1
2026-02-28,Liberec,VB,1
2026-02-28,Mladá Boleslav,XL,1
2026-02-28,Most,XL,1
2026-02-28,Mělník,XPO,1
2026-02-28,Olomouc,VB,1
2026-02-28,Ostrava,XPO,4
2026-02-28,Ostrava,VB,5
2026-02-28,Pardubice,XPO,1
2026-02-28,Plzeň město,XPO,2
2026-02-28,Plzeň město,XL,1
2026-02-28,Pobočka Chrášťany,XPO,10
2026-02-28,Pobočka Chrášťany,XL,3
2026-02-28,Počernice,XL,1
2026-02-28,Praha - centrála,XPO,7
2026-02-28,Praha - centrála,XL,2
2026-02-28,Praha - centrála,VB,1
2026-02-28,SKLC3,XPO,50
2026-02-28,SKLC3,XL,5
2026-02-28,SKLC3,VB,9
2026-02-28,Třebíč,XPO,1
2026-02-28,Třebíč,XL,1
2026-02-28,Zlín,XPO,1
2026-02-28,Zlín,VB,1
2026-02-28,Čakovice,XPO,6
2026-02-28,Čakovice,XL,2
2026-02-28,Čakovice,VB,2
2026-02-28,České Budějovice,XPO,2
2026-02-28,České Budějovice,XL,2
2026-02-28,České Budějovice,VB,1
2026-03-01,Anděl,XPO,1
2026-03-01,Beroun,XL,1
2026-03-01,Brno,XPO,4
2026-03-01,Brno,XL,3
2026-03-01,Brno Lískovec,VB,1
