datum,protistrana,geosize,joblines
2026-02-28,Brno,XPO,17
2026-02-28,Brno,XL,2
2026-02-28,CZLC4,SPO,3
2026-02-28,CZLC4,BPO,1
2026-02-28,CZLC4,XPO,2
2026-02-28,Háje,XPO,7
2026-02-28,Háje,XL,3
2026-02-28,Ostrava,XPO,6
2026-02-28,Ostrava,XL,4
2026-02-28,Plzeň město,XPO,20
2026-02-28,Plzeň město,XL,1
2026-02-28,Počernice,XPO,2
2026-02-28,Praha - centrála,XPO,37
2026-02-28,Praha - centrála,XL,21
2026-02-28,Praha - centrála,VB,7
2026-02-28,SKLC3,XPO,123
2026-02-28,SKLC3,XL,19
2026-02-28,SKLC3,VB,23
2026-02-28,Čakovice,XPO,6
2026-02-28,Čakovice,XL,10
2026-02-28,Čakovice,VB,7
2026-03-01,Anděl,SPO,2
2026-03-01,Anděl,XPO,5
2026-03-01,Brno,XL,6
2026-03-01,CZLC4,SPO,7
2026-03-01,Háje,XL,3
2026-03-01,Ostrava,XPO,10
2026-03-01,Ostrava,XL,2
2026-03-01,Plzeň město,XL,2
2026-03-01,Počernice,VB,2
2026-03-01,Praha - centrála,XPO,18
2026-03-01,Praha - centrála,XL,30
2026-03-01,Praha - centrála,VB,6
2026-03-01,SKLC3,XPO,874
2026-03-01,SKLC3,XL,14
2026-03-01,SKLC3,VB,48
2026-03-01,Čakovice,XL,2
2026-03-01,Čakovice,VB,1
2026-03-02,Anděl,XPO,4
2026-03-02,Anděl,XL,2
2026-03-02,Brno,XPO,14
2026-03-02,CZLC4,SPO,3
2026-03-02,CZLC4,BPO,2
2026-03-02,CZLC4,XPO,21
2026-03-02,Háje,XPO,4
2026-03-02,Háje,XL,4
2026-03-02,Ostrava,XPO,2
2026-03-02,Ostrava,XL,2
2026-03-02,Plzeň město,XPO,3
2026-03-02,Plzeň město,XL,2
2026-03-02,Počernice,VB,2
2026-03-02,Praha - centrála,XPO,25
2026-03-02,Praha - centrála,XL,15
2026-03-02,Praha - centrála,VB,3
2026-03-02,SKLC3,XPO,49
2026-03-02,SKLC3,XL,11
2026-03-02,SKLC3,VB,75
2026-03-02,Čakovice,XL,3
2026-03-02,Čakovice,VB,2
2026-03-03,CZLC4,SPO,24
2026-03-03,CZLC4,BPO,13
2026-03-03,CZLC4,XPO,24
2026-03-03,Háje,XPO,2
2026-03-03,Háje,XL,5
2026-03-03,Ostrava,XPO,6
2026-03-03,Ostrava,XL,1
2026-03-03,Počernice,XL,8
2026-03-03,Praha - centrála,XPO,26
2026-03-03,Praha - centrála,XL,15
2026-03-03,Praha - centrála,VB,5
2026-03-03,SKLC3,XPO,190
2026-03-03,SKLC3,XL,107
2026-03-03,SKLC3,VB,182
2026-03-03,Čakovice,VB,3
2026-03-04,Anděl,XPO,6
2026-03-04,CZLC4,SPO,2
2026-03-04,CZLC4,BPO,6
2026-03-04,CZLC4,XPO,59
2026-03-04,Háje,XPO,1
2026-03-04,Háje,XL,2
2026-03-04,Ostrava,XPO,8
2026-03-04,Ostrava,XL,9
2026-03-04,Praha - centrála,XPO,40
2026-03-04,Praha - centrála,XL,24
2026-03-04,Praha - centrála,VB,7
2026-03-04,SKLC3,BPO,1
2026-03-04,SKLC3,XPO,95
2026-03-04,SKLC3,XL,1
2026-03-04,SKLC3,VB,131
2026-03-04,Čakovice,XL,8
2026-03-04,Čakovice,VB,3
