datum,plan,vylozene,plan_virt,vylozene_virt
2026-08-03,416,410,188,179
2026-08-04,391,317,105,104
2026-08-05,518,438,131,140
2026-08-06,438,327,252,218
2026-08-07,471,456,327,308
2026-08-10,510,466,196,196
2026-08-11,356,342,306,305
2026-08-12,474,447,363,338
2026-08-13,570,538,355,358
2026-08-14,600,600,371,372
2026-08-17,396,314,203,170
2026-08-18,420,0,159,0
2026-08-19,497,0,180,0
2026-08-20,236,0,33,0
2026-08-21,309,0,33,0
2026-08-24,202,0,0,0
2026-08-25,174,0,33,0
2026-08-26,235,0,63,0
2026-08-27,173,0,0,0
2026-08-28,295,0,0,0
