datum,protistrana,geosize,joblines
2026-02-28,Banská Bystrica,SPO,7
2026-02-28,Bratislava Centrála,SPO,90
2026-02-28,Bratislava Centrála,BPO,14
2026-02-28,Bratislava Centrála,XPO,13
2026-02-28,Bratislava Centrála,XL,2
2026-02-28,Bratislava Centrála,VB,1
2026-02-28,Bratislava Petržalka,BPO,1
2026-02-28,Budapest Újbuda Központ,SPO,14
2026-02-28,Budapest Újbuda Központ,BPO,4
2026-02-28,Budapest Újbuda Központ,XPO,1
2026-02-28,Budapešť Blaha,SPO,2
2026-02-28,CBP Budapešť centrála,SPO,27
2026-02-28,CBP Budapešť centrála,BPO,3
2026-02-28,CBP Budapešť centrála,XPO,9
2026-02-28,CBP Budapešť centrála,XL,2
2026-02-28,CBP Budapešť centrála,VB,2
2026-02-28,CZLC4,SPO,2463
2026-02-28,CZLC4,BPO,447
2026-02-28,CZLC4,XPO,120
2026-02-28,HULC1,SPO,178
2026-02-28,HULC1,BPO,20
2026-02-28,HULC1,XPO,3
2026-02-28,Košice,SPO,9
2026-02-28,Košice,BPO,3
2026-02-28,Košice,XPO,1
2026-02-28,LCS,SPO,142
2026-02-28,LCS,BPO,21
2026-02-28,LCS,XPO,156
2026-02-28,LCU,XPO,123
2026-02-28,LCU,XL,19
2026-02-28,LCU,VB,23
2026-02-28,Nitra,SPO,5
2026-02-28,Nitra,XPO,5
2026-02-28,Nitra,VB,2
2026-02-28,Pobočka HULC1,SPO,20
2026-02-28,Pobočka HULC1,BPO,4
2026-02-28,Pobočka HULC1,XPO,7
2026-02-28,Pobočka Senec,SPO,14
2026-02-28,Pobočka Senec,BPO,3
2026-02-28,Pobočka Senec,XPO,2
2026-02-28,Pobočka Senec,XL,1
2026-02-28,Prešov,SPO,16
2026-02-28,Prešov,BPO,3
2026-02-28,Trenčín,SPO,4
2026-02-28,Trenčín,BPO,1
2026-02-28,Trnava,SPO,9
2026-02-28,Trnava,BPO,2
2026-02-28,Trnava,XL,1
2026-02-28,Žilina,SPO,19
2026-02-28,Žilina,BPO,8
2026-02-28,Žilina,XPO,2
2026-02-28,Žilina,XL,1
2026-03-01,Banská Bystrica,SPO,20
2026-03-01,Banská Bystrica,BPO,3
2026-03-01,Banská Bystrica,VB,1
2026-03-01,Bratislava Centrála,SPO,178
2026-03-01,Bratislava Centrála,BPO,19
2026-03-01,Bratislava Centrála,XPO,10
2026-03-01,Bratislava Centrála,XL,1
2026-03-01,Bratislava Petržalka,SPO,3
2026-03-01,Bratislava Petržalka,XL,1
2026-03-01,Budapešť Blaha,SPO,4
2026-03-01,Budapešť Blaha,XPO,1
2026-03-01,Budapešť Blaha,XL,1
2026-03-01,CBP Budapešť centrála,SPO,87
2026-03-01,CBP Budapešť centrála,BPO,6
2026-03-01,CBP Budapešť centrála,XPO,6
2026-03-01,CZLC4,SPO,10438
2026-03-01,CZLC4,BPO,2606
2026-03-01,CZLC4,XPO,422
2026-03-01,Dunajská Streda,SPO,3
2026-03-01,HULC1,SPO,108
2026-03-01,HULC1,BPO,14
2026-03-01,HULC1,XPO,5
2026-03-01,HULC1,VB,14
2026-03-01,Košice,SPO,18
2026-03-01,Košice,BPO,15
2026-03-01,Košice,XPO,1
2026-03-01,LCS,SPO,262
2026-03-01,LCS,BPO,48
2026-03-01,LCS,XPO,432
2026-03-01,LCU,XPO,874
2026-03-01,LCU,XL,14
2026-03-01,LCU,VB,48
2026-03-01,Nitra,SPO,12
2026-03-01,Nitra,BPO,3
2026-03-01,Nitra,XPO,2
2026-03-01,Pobočka HULC1,SPO,4
2026-03-01,Pobočka HULC1,BPO,1
2026-03-01,Pobočka HULC1,XPO,1
2026-03-01,Pobočka Senec,SPO,22
2026-03-01,Pobočka Senec,BPO,3
2026-03-01,Pobočka Senec,XL,2
2026-03-01,Prešov,SPO,25
2026-03-01,Prešov,BPO,1
2026-03-01,Trenčín,SPO,7
2026-03-01,Trenčín,XL,1
2026-03-01,Trenčín,VB,1
2026-03-01,Trnava,SPO,14
2026-03-01,Trnava,BPO,2
2026-03-01,Trnava,XPO,4
2026-03-01,Trnava,XL,1
2026-03-01,Trnava,VB,1
2026-03-01,Žilina,SPO,8
2026-03-01,Žilina,XPO,1
2026-03-02,Banská Bystrica,SPO,7
2026-03-02,Bratislava Centrála,SPO,63
2026-03-02,Bratislava Centrála,BPO,10
2026-03-02,Bratislava Centrála,XPO,8
2026-03-02,Bratislava Centrála,XL,5
2026-03-02,Bratislava Petržalka,SPO,3
2026-03-02,Bratislava Petržalka,XPO,1
2026-03-02,Bratislava Petržalka,XL,1
2026-03-02,Budapešť Blaha,SPO,1
2026-03-02,CBP Budapešť centrála,SPO,28
2026-03-02,CBP Budapešť centrála,BPO,8
2026-03-02,CBP Budapešť centrála,XPO,3
2026-03-02,CBP Budapešť centrála,XL,2
2026-03-02,CBP Budapešť centrála,VB,1
2026-03-02,CZLC4,SPO,877
2026-03-02,CZLC4,BPO,146
2026-03-02,CZLC4,XPO,23
