datum,protistrana,geosize,joblines
2026-02-28,Banská Bystrica,SPO,5
2026-02-28,Bratislava Centrála,SPO,269
2026-02-28,Bratislava Centrála,BPO,100
2026-02-28,Bratislava Centrála,XPO,67
2026-02-28,Bratislava Centrála,XL,16
2026-02-28,Bratislava Petržalka,SPO,3
2026-02-28,Budapest Újbuda Központ,SPO,2
2026-02-28,Budapešť Blaha,SPO,131
2026-02-28,Budapešť Blaha,BPO,20
2026-02-28,CBP Budapešť centrála,SPO,439
2026-02-28,CBP Budapešť centrála,BPO,104
2026-02-28,CBP Budapešť centrála,XPO,18
2026-02-28,CBP Budapešť centrála,XL,8
2026-02-28,CZLC4,SPO,501
2026-02-28,CZLC4,BPO,243
2026-02-28,CZLC4,XPO,16
2026-02-28,Dunajská Streda,SPO,1
2026-02-28,Košice,SPO,5
2026-02-28,LCU,XPO,50
2026-02-28,LCU,XL,5
2026-02-28,LCU,VB,9
2026-02-28,Nitra,SPO,5
2026-02-28,Pobočka HULC1,SPO,4
2026-02-28,Pobočka Senec,SPO,1
2026-02-28,Prešov,SPO,1
2026-02-28,Trenčín,SPO,1
2026-02-28,Trnava,SPO,2
2026-02-28,Žilina,SPO,4
2026-03-01,Banská Bystrica,SPO,2
2026-03-01,Bratislava Centrála,SPO,170
2026-03-01,Bratislava Centrála,BPO,28
2026-03-01,Bratislava Petržalka,SPO,1
2026-03-01,Budapest Újbuda Központ,SPO,5
2026-03-01,Budapešť Blaha,SPO,3
2026-03-01,CBP Budapešť centrála,SPO,106
2026-03-01,CBP Budapešť centrála,BPO,76
2026-03-01,CBP Budapešť centrála,XPO,16
2026-03-01,CBP Budapešť centrála,XL,18
2026-03-01,CZLC4,SPO,125
2026-03-01,CZLC4,BPO,121
2026-03-01,CZLC4,XPO,10
2026-03-01,Dunajská Streda,SPO,1
2026-03-01,Košice,SPO,4
2026-03-01,LCU,XPO,15
2026-03-01,LCU,XL,42
2026-03-01,LCU,VB,62
2026-03-01,Nitra,SPO,6
2026-03-01,Pobočka HULC1,SPO,2
2026-03-01,Pobočka Senec,SPO,1
2026-03-01,Prešov,SPO,2
2026-03-01,Trenčín,SPO,3
2026-03-01,Trnava,SPO,1
2026-03-01,Žilina,SPO,2
2026-03-02,Banská Bystrica,SPO,2
2026-03-02,Bratislava Centrála,SPO,167
2026-03-02,Bratislava Centrála,BPO,86
2026-03-02,Bratislava Centrála,XPO,53
2026-03-02,Bratislava Centrála,XL,6
2026-03-02,Bratislava Petržalka,SPO,2
2026-03-02,Budapešť Blaha,SPO,4
2026-03-02,CBP Budapešť centrála,SPO,94
2026-03-02,CBP Budapešť centrála,BPO,51
2026-03-02,CBP Budapešť centrála,XPO,18
2026-03-02,CBP Budapešť centrála,XL,13
2026-03-02,CZLC4,SPO,450
2026-03-02,CZLC4,BPO,100
2026-03-02,CZLC4,XPO,15
2026-03-02,Dunajská Streda,SPO,2
2026-03-02,Košice,SPO,5
2026-03-02,LCU,XPO,19
2026-03-02,LCU,XL,5
2026-03-02,LCU,VB,66
2026-03-02,Nitra,SPO,3
2026-03-02,Pobočka Senec,SPO,2
2026-03-02,Prešov,SPO,3
2026-03-02,Trenčín,SPO,2
2026-03-02,Trnava,SPO,5
2026-03-02,Wien Karlsplatz,SPO,1
2026-03-02,Žilina,SPO,6
2026-03-03,Banská Bystrica,SPO,5
2026-03-03,Bratislava Centrála,SPO,263
2026-03-03,Bratislava Centrála,BPO,69
2026-03-03,Bratislava Centrála,XPO,18
2026-03-03,Bratislava Petržalka,SPO,2
2026-03-03,Bratislava Petržalka,BPO,3
2026-03-03,Budapest Újbuda Központ,SPO,5
2026-03-03,Budapešť Blaha,SPO,6
2026-03-03,CBP Budapešť centrála,SPO,254
2026-03-03,CBP Budapešť centrála,BPO,36
2026-03-03,CBP Budapešť centrála,XPO,20
2026-03-03,CBP Budapešť centrála,XL,11
2026-03-03,CZLC4,SPO,637
2026-03-03,CZLC4,BPO,254
2026-03-03,CZLC4,XPO,24
2026-03-03,Dunajská Streda,SPO,1
2026-03-03,Dunajská Streda,BPO,1
2026-03-03,Košice,SPO,3
2026-03-03,LCU,XPO,26
2026-03-03,LCU,XL,56
2026-03-03,LCU,VB,85
2026-03-03,Nitra,SPO,2
2026-03-03,Nitra,BPO,1
2026-03-03,Pobočka HULC1,SPO,8
2026-03-03,Prešov,SPO,5
2026-03-03,Prešov,BPO,3
2026-03-03,Trenčín,SPO,6
2026-03-03,Trenčín,BPO,3
2026-03-03,Trnava,SPO,5
2026-03-03,Žilina,SPO,5
2026-03-04,Banská Bystrica,SPO,8
2026-03-04,Bratislava Centrála,SPO,281
2026-03-04,Bratislava Centrála,BPO,60
2026-03-04,Bratislava Centrála,XPO,12
2026-03-04,Bratislava Centrála,XL,17
2026-03-04,Budapest Újbuda Központ,SPO,2
2026-03-04,Budapešť Blaha,SPO,11
2026-03-04,CBP Budapešť centrála,SPO,202
2026-03-04,CBP Budapešť centrála,BPO,55
2026-03-04,CBP Budapešť centrála,XPO,19
2026-03-04,CZLC4,SPO,449
2026-03-04,CZLC4,BPO,106
2026-03-04,CZLC4,XPO,27
2026-03-04,Dunajská Streda,SPO,8
2026-03-04,Dunajská Streda,BPO,1
2026-03-04,Košice,SPO,3
2026-03-04,LCU,XPO,16
2026-03-04,LCU,XL,53
2026-03-04,LCU,VB,35
2026-03-04,Nitra,SPO,7
2026-03-04,Pobočka HULC1,SPO,1
2026-03-04,Pobočka Senec,SPO,6
2026-03-04,Prešov,SPO,4
2026-03-04,Trenčín,SPO,1
2026-03-04,Trnava,SPO,7
2026-03-04,Žilina,SPO,2
2026-03-05,Banská Bystrica,SPO,5
2026-03-05,Bratislava Centrála,SPO,619
2026-03-05,Bratislava Centrála,BPO,107
2026-03-05,Bratislava Centrála,XPO,15
2026-03-05,Bratislava Petržalka,SPO,3
2026-03-05,Budapest Újbuda Központ,SPO,2
2026-03-05,Budapešť Blaha,SPO,12
2026-03-05,CBP Budapešť centrála,SPO,217
2026-03-05,CBP Budapešť centrála,BPO,118
2026-03-05,CBP Budapešť centrála,XPO,37
2026-03-05,CZLC4,SPO,289
2026-03-05,CZLC4,BPO,122
2026-03-05,CZLC4,XPO,23
2026-03-05,Dunajská Streda,SPO,4
2026-03-05,Dunajská Streda,BPO,2
2026-03-05,Košice,SPO,8
2026-03-05,LCU,XPO,75
2026-03-05,LCU,XL,11
2026-03-05,LCU,VB,133
2026-03-05,Nitra,SPO,7
2026-03-05,Pobočka HULC1,SPO,6
2026-03-05,Pobočka Senec,SPO,4
2026-03-05,Prešov,SPO,5
2026-03-05,Trenčín,SPO,3
2026-03-05,Trnava,SPO,12
2026-03-05,Wien Karlsplatz,SPO,3
2026-03-05,Žilina,SPO,9
2026-03-06,Banská Bystrica,SPO,9
2026-03-06,Bratislava Centrála,SPO,237
2026-03-06,Bratislava Centrála,BPO,95
2026-03-06,Bratislava Centrála,XPO,48
2026-03-06,Bratislava Centrála,XL,10
2026-03-06,Bratislava Petržalka,SPO,2
2026-03-06,Budapest Újbuda Központ,SPO,2
2026-03-06,Budapešť Blaha,SPO,10
2026-03-06,CBP Budapešť centrála,SPO,210
2026-03-06,CBP Budapešť centrála,BPO,73
2026-03-06,CBP Budapešť centrála,XPO,66
2026-03-06,CZLC4,SPO,497
2026-03-06,CZLC4,BPO,286
2026-03-06,CZLC4,XPO,50
2026-03-06,Dunajská Streda,SPO,4
2026-03-06,Košice,SPO,4
2026-03-06,LCU,XPO,11
2026-03-06,LCU,XL,12
2026-03-06,LCU,VB,15
2026-03-06,Nitra,SPO,7
2026-03-06,Pobočka HULC1,SPO,4
2026-03-06,Prešov,SPO,8
2026-03-06,Trenčín,SPO,6
2026-03-06,Trnava,SPO,8
2026-03-06,Žilina,SPO,6
2026-03-07,Banská Bystrica,SPO,2
2026-03-07,Bratislava Centrála,SPO,262
2026-03-07,Bratislava Centrála,BPO,132
2026-03-07,Bratislava Centrála,XPO,44
2026-03-07,Bratislava Centrála,XL,6
2026-03-07,Bratislava Petržalka,SPO,1
2026-03-07,Budapest Újbuda Központ,SPO,2
2026-03-07,Budapešť Blaha,SPO,4
2026-03-07,CBP Budapešť centrála,SPO,206
2026-03-07,CBP Budapešť centrála,BPO,66
2026-03-07,CBP Budapešť centrála,XPO,47
2026-03-07,CZLC4,SPO,149
2026-03-07,CZLC4,BPO,206
2026-03-07,CZLC4,XPO,12
2026-03-07,Dunajská Streda,SPO,3
2026-03-07,Košice,SPO,7
2026-03-07,LCU,XPO,57
2026-03-07,LCU,XL,27
2026-03-07,LCU,VB,12
2026-03-07,Nitra,SPO,5
2026-03-07,Pobočka HULC1,SPO,6
