datum,proces,celkem,pozde
2026-08-09,1. Pick,117647,1592
2026-08-09,2. Pack,117647,1127
2026-08-09,3. Sort,117402,1624
2026-08-09,4. EXP (ČS),117512,1864
2026-08-09,5. EXP (DLT),116884,1787
2026-08-09,6. BJ (LT),4036,419
2026-08-09,7. BJ (ČS),3782,417
2026-08-10,1. Pick,116293,884
2026-08-10,2. Pack,116293,627
2026-08-10,3. Sort,116368,3065
2026-08-10,4. EXP (ČS),116600,2255
2026-08-10,5. EXP (DLT),116375,1633
2026-08-10,6. BJ (LT),8823,869
2026-08-10,7. BJ (ČS),8708,927
2026-08-11,1. Pick,112683,505
2026-08-11,2. Pack,112683,453
2026-08-11,3. Sort,112705,1298
2026-08-11,4. EXP (ČS),112933,3486
2026-08-11,5. EXP (DLT),111919,1214
2026-08-11,6. BJ (LT),7994,602
2026-08-11,7. BJ (ČS),7844,607
2026-08-12,1. Pick,117930,317
2026-08-12,2. Pack,117930,293
2026-08-12,3. Sort,117915,1325
2026-08-12,4. EXP (ČS),118154,908
2026-08-12,5. EXP (DLT),118351,807
2026-08-12,6. BJ (LT),7039,583
2026-08-12,7. BJ (ČS),6886,637
2026-08-13,1. Pick,97671,452
2026-08-13,2. Pack,97671,7919
2026-08-13,3. Sort,97750,5053
2026-08-13,4. EXP (ČS),97978,872
2026-08-13,5. EXP (DLT),98937,799
2026-08-13,6. BJ (LT),6317,289
2026-08-13,7. BJ (ČS),6162,239
2026-08-14,1. Pick,82935,342
2026-08-14,2. Pack,82935,309
2026-08-14,3. Sort,83122,1341
2026-08-14,4. EXP (ČS),83281,441
2026-08-14,5. EXP (DLT),83298,418
2026-08-14,6. BJ (LT),5722,470
2026-08-14,7. BJ (ČS),5719,414
2026-08-15,1. Pick,94124,577
2026-08-15,2. Pack,94124,690
2026-08-15,3. Sort,93865,1199
2026-08-15,4. EXP (ČS),94031,782
2026-08-15,5. EXP (DLT),94354,601
2026-08-15,6. BJ (LT),2742,240
2026-08-15,7. BJ (ČS),2713,226
2026-08-16,1. Pick,120826,250
2026-08-16,2. Pack,120826,4073
2026-08-16,3. Sort,120786,2246
2026-08-16,4. EXP (ČS),120940,1327
2026-08-16,5. EXP (DLT),120584,1165
2026-08-16,6. BJ (LT),4805,406
2026-08-16,7. BJ (ČS),4492,390
2026-08-17,1. Pick,138,2
2026-08-17,2. Pack,138,2
2026-08-17,3. Sort,893,10
2026-08-17,4. EXP (ČS),807,10
2026-08-17,5. EXP (DLT),806,2
2026-08-17,6. BJ (LT),44,2
2026-08-17,7. BJ (ČS),88,3
