datum,hodina,proces,celkem,pozde
2026-08-11,0,1. Pick,25753,34
2026-08-11,0,2. Pack,504,11
2026-08-11,0,5. EXP (DLT),439,6
2026-08-11,1,1. Pick,31996,17
2026-08-11,1,2. Pack,57519,102
2026-08-11,1,3. Sort,26042,89
2026-08-11,1,6. BJ (LT),1941,28
2026-08-11,2,1. Pick,14935,28
2026-08-11,2,2. Pack,14735,31
2026-08-11,2,3. Sort,31996,252
2026-08-11,2,4. EXP (ČS),26042,103
2026-08-11,2,5. EXP (DLT),26042,103
2026-08-11,2,6. BJ (LT),1153,45
2026-08-11,2,7. BJ (ČS),1939,28
2026-08-11,3,1. Pick,16059,7
2026-08-11,3,2. Pack,16274,41
2026-08-11,3,3. Sort,14753,169
2026-08-11,3,4. EXP (ČS),31996,1171
2026-08-11,3,5. EXP (DLT),31996,580
2026-08-11,3,6. BJ (LT),1059,22
2026-08-11,3,7. BJ (ČS),1153,66
2026-08-11,4,1. Pick,18,0
2026-08-11,4,3. Sort,16059,106
2026-08-11,4,4. EXP (ČS),14871,106
2026-08-11,4,5. EXP (DLT),14761,48
2026-08-11,4,6. BJ (LT),730,18
2026-08-11,4,7. BJ (ČS),1061,32
2026-08-11,5,1. Pick,594,49
2026-08-11,5,2. Pack,612,34
2026-08-11,5,3. Sort,96,14
2026-08-11,5,4. EXP (ČS),15941,1572
2026-08-11,5,5. EXP (DLT),16051,122
2026-08-11,5,6. BJ (LT),10,5
2026-08-11,5,7. BJ (ČS),722,100
2026-08-11,6,1. Pick,39,2
2026-08-11,6,2. Pack,39,0
2026-08-11,6,3. Sort,535,27
2026-08-11,6,4. EXP (ČS),187,26
2026-08-11,6,5. EXP (DLT),187,26
2026-08-11,6,6. BJ (LT),61,8
2026-08-11,6,7. BJ (ČS),31,7
2026-08-11,7,1. Pick,146,1
2026-08-11,7,2. Pack,143,0
2026-08-11,7,3. Sort,363,11
2026-08-11,7,4. EXP (ČS),559,8
2026-08-11,7,5. EXP (DLT),459,6
2026-08-11,7,6. BJ (LT),18,10
2026-08-11,7,7. BJ (ČS),58,18
2026-08-11,8,1. Pick,1691,62
2026-08-11,8,2. Pack,393,1
2026-08-11,8,3. Sort,44,3
2026-08-11,8,4. EXP (ČS),246,26
2026-08-11,8,5. EXP (DLT),122,6
2026-08-11,8,6. BJ (LT),6,5
2026-08-11,8,7. BJ (ČS),10,6
2026-08-11,9,1. Pick,1530,73
2026-08-11,9,2. Pack,1338,0
2026-08-11,9,3. Sort,1678,41
2026-08-11,9,4. EXP (ČS),53,1
2026-08-11,9,5. EXP (DLT),88,3
2026-08-11,9,6. BJ (LT),504,41
2026-08-11,9,7. BJ (ČS),86,80
2026-08-11,10,1. Pick,1386,9
2026-08-11,10,2. Pack,1999,85
2026-08-11,10,3. Sort,62,3
2026-08-11,10,4. EXP (ČS),1701,24
2026-08-11,10,5. EXP (DLT),1705,23
2026-08-11,10,6. BJ (LT),4,0
2026-08-11,10,7. BJ (ČS),418,13
2026-08-11,11,1. Pick,2473,3
2026-08-11,11,2. Pack,963,1
2026-08-11,11,3. Sort,2037,125
2026-08-11,11,4. EXP (ČS),63,3
2026-08-11,11,5. EXP (DLT),63,3
2026-08-11,11,6. BJ (LT),277,26
2026-08-11,11,7. BJ (ČS),4,0
2026-08-11,12,1. Pick,2967,37
2026-08-11,12,2. Pack,2604,4
2026-08-11,12,3. Sort,3284,67
2026-08-11,12,4. EXP (ČS),2007,100
2026-08-11,12,5. EXP (DLT),713,10
2026-08-11,12,6. BJ (LT),585,2
2026-08-11,12,7. BJ (ČS),277,21
2026-08-11,13,1. Pick,562,0
2026-08-11,13,2. Pack,784,0
2026-08-11,13,3. Sort,929,25
2026-08-11,13,4. EXP (ČS),3423,60
2026-08-11,13,5. EXP (DLT),1523,97
2026-08-11,13,6. BJ (LT),86,10
2026-08-11,13,7. BJ (ČS),571,7
2026-08-11,14,1. Pick,7572,5
2026-08-11,14,2. Pack,1743,4
2026-08-11,14,3. Sort,132,0
2026-08-11,14,4. EXP (ČS),972,25
2026-08-11,14,5. EXP (DLT),3210,42
2026-08-11,14,6. BJ (LT),3,3
2026-08-11,14,7. BJ (ČS),82,6
2026-08-11,15,1. Pick,439,1
2026-08-11,15,2. Pack,8491,7
2026-08-11,15,3. Sort,7522,159
2026-08-11,15,4. EXP (ČS),89,1
2026-08-11,15,5. EXP (DLT),506,1
2026-08-11,15,6. BJ (LT),863,202
2026-08-11,15,7. BJ (ČS),3,3
2026-08-11,16,1. Pick,335,0
2026-08-11,16,2. Pack,356,1
2026-08-11,16,3. Sort,2734,24
2026-08-11,16,4. EXP (ČS),7546,55
2026-08-11,16,5. EXP (DLT),6136,34
2026-08-11,16,6. BJ (LT),270,119
2026-08-11,16,7. BJ (ČS),941,163
2026-08-11,17,1. Pick,27,1
2026-08-11,17,2. Pack,314,0
2026-08-11,17,3. Sort,316,6
2026-08-11,17,4. EXP (ČS),2700,19
2026-08-11,17,5. EXP (DLT),1735,22
2026-08-11,17,6. BJ (LT),18,2
2026-08-11,17,7. BJ (ČS),65,14
2026-08-11,18,1. Pick,39,0
2026-08-11,18,2. Pack,39,0
2026-08-11,18,3. Sort,288,4
2026-08-11,18,4. EXP (ČS),324,3
2026-08-11,18,5. EXP (DLT),2699,21
2026-08-11,18,6. BJ (LT),36,1
2026-08-11,18,7. BJ (ČS),18,0
2026-08-11,19,1. Pick,12,0
2026-08-11,19,2. Pack,12,0
2026-08-11,19,3. Sort,14,1
2026-08-11,19,4. EXP (ČS),264,1
2026-08-11,19,5. EXP (DLT),65,0
2026-08-11,19,7. BJ (ČS),36,3
2026-08-11,20,1. Pick,2948,35
2026-08-11,20,2. Pack,1550,83
2026-08-11,20,3. Sort,113,1
2026-08-11,20,4. EXP (ČS),113,0
2026-08-11,20,5. EXP (DLT),249,1
2026-08-11,20,6. BJ (LT),10,2
2026-08-11,20,7. BJ (ČS),10,0
2026-08-11,21,1. Pick,570,32
2026-08-11,21,2. Pack,1799,6
2026-08-11,21,3. Sort,2897,119
2026-08-11,21,5. EXP (DLT),113,0
2026-08-11,21,6. BJ (LT),302,52
2026-08-11,22,1. Pick,303,35
2026-08-11,22,2. Pack,472,42
2026-08-11,22,3. Sort,508,6
2026-08-11,22,4. EXP (ČS),3024,151
2026-08-11,22,5. EXP (DLT),1901,23
2026-08-11,22,6. BJ (LT),58,1
2026-08-11,22,7. BJ (ČS),303,40
2026-08-11,23,1. Pick,289,74
2026-08-11,23,3. Sort,303,46
2026-08-11,23,4. EXP (ČS),812,31
2026-08-11,23,5. EXP (DLT),1156,37
2026-08-11,23,7. BJ (ČS),56,0
2026-08-12,0,1. Pick,26923,16
2026-08-12,0,2. Pack,509,7
2026-08-12,0,5. EXP (DLT),438,15
2026-08-12,1,1. Pick,34513,22
2026-08-12,1,2. Pack,61184,61
2026-08-12,1,3. Sort,27194,113
2026-08-12,1,6. BJ (LT),1685,105
2026-08-12,2,1. Pick,17094,59
2026-08-12,2,2. Pack,16885,28
2026-08-12,2,3. Sort,34513,453
2026-08-12,2,4. EXP (ČS),27194,176
2026-08-12,2,5. EXP (DLT),27194,175
2026-08-12,2,6. BJ (LT),984,113
2026-08-12,2,7. BJ (ČS),1685,112
2026-08-12,3,1. Pick,17432,15
2026-08-12,3,2. Pack,17655,85
2026-08-12,3,3. Sort,16943,208
2026-08-12,3,4. EXP (ČS),34513,119
2026-08-12,3,5. EXP (DLT),34513,119
2026-08-12,3,6. BJ (LT),933,27
2026-08-12,3,7. BJ (ČS),984,114
2026-08-12,4,1. Pick,22,0
2026-08-12,4,3. Sort,17432,188
2026-08-12,4,4. EXP (ČS),17067,113
2026-08-12,4,5. EXP (DLT),16947,108
2026-08-12,4,6. BJ (LT),650,27
2026-08-12,4,7. BJ (ČS),942,33
2026-08-12,5,1. Pick,625,21
2026-08-12,5,2. Pack,647,22
2026-08-12,5,3. Sort,85,1
2026-08-12,5,4. EXP (ČS),17308,117
2026-08-12,5,5. EXP (DLT),17428,122
2026-08-12,5,6. BJ (LT),5,1
2026-08-12,5,7. BJ (ČS),641,26
2026-08-12,6,1. Pick,53,0
2026-08-12,6,2. Pack,52,1
2026-08-12,6,3. Sort,516,30
2026-08-12,6,4. EXP (ČS),227,33
2026-08-12,6,5. EXP (DLT),227,33
2026-08-12,6,6. BJ (LT),51,32
2026-08-12,6,7. BJ (ČS),18,8
2026-08-12,7,1. Pick,81,0
2026-08-12,7,2. Pack,81,0
2026-08-12,7,3. Sort,314,15
2026-08-12,7,4. EXP (ČS),465,0
2026-08-12,7,5. EXP (DLT),455,0
2026-08-12,7,6. BJ (LT),22,16
2026-08-12,7,7. BJ (ČS),65,50
2026-08-12,8,1. Pick,1473,2
2026-08-12,8,2. Pack,366,0
2026-08-12,8,3. Sort,27,1
2026-08-12,8,4. EXP (ČS),249,46
2026-08-12,8,5. EXP (DLT),25,0
2026-08-12,8,6. BJ (LT),2,2
2026-08-12,8,7. BJ (ČS),3,3
2026-08-12,9,1. Pick,1369,1
2026-08-12,9,2. Pack,1140,4
2026-08-12,9,3. Sort,1478,11
2026-08-12,9,4. EXP (ČS),51,2
2026-08-12,9,5. EXP (DLT),103,16
2026-08-12,9,6. BJ (LT),461,62
2026-08-12,9,7. BJ (ČS),104,103
