datum,proces,hodiny,joblines
2026-02-27,Pack,46.25,6832
2026-02-27,Pick,242.41,8348
2026-02-27,Potvrdenie,111.91,1536
2026-02-27,Príjem,46.26,2263
2026-02-27,Sort,223.69,5456
2026-02-28,Pack,358.44,172996
2026-02-28,Pick,1370.42,176042
2026-02-28,Potvrdenie,444.62,23798
2026-02-28,Príjem,319.57,29955
2026-02-28,Sort,1034.35,167747
2026-03-01,Pack,390.74,215601
2026-03-01,Pick,1520.53,223274
2026-03-01,Potvrdenie,660.79,42500
2026-03-01,Príjem,579.45,48316
2026-03-01,Sort,1423.22,209485
2026-03-02,Pack,405.85,228033
2026-03-02,Pick,1540.37,229642
2026-03-02,Potvrdenie,699.54,51234
2026-03-02,Príjem,602.42,52665
2026-03-02,Sort,1367.3,222521
2026-03-03,Pack,438.06,245403
2026-03-03,Pick,1638.47,240884
2026-03-03,Potvrdenie,691.15,52971
2026-03-03,Príjem,627.35,53719
2026-03-03,Sort,1429.89,235839
2026-03-04,Pack,436.19,243811
2026-03-04,Pick,1680.49,242416
2026-03-04,Potvrdenie,613.02,54243
2026-03-04,Príjem,634.97,52916
2026-03-04,Sort,1447.43,231650
2026-03-05,Pack,359.67,211605
2026-03-05,Pick,1466.91,211486
2026-03-05,Potvrdenie,599.58,50614
2026-03-05,Príjem,611.52,49451
2026-03-05,Sort,1308.53,204054
2026-03-06,Pack,315.38,193091
2026-03-06,Pick,1302.11,194821
2026-03-06,Potvrdenie,618.56,52572
2026-03-06,Príjem,430.81,45113
2026-03-06,Sort,1033.55,185461
2026-03-07,Pack,372,203567
2026-03-07,Pick,1416.94,207813
2026-03-07,Potvrdenie,468.15,39554
2026-03-07,Príjem,324.83,37211
2026-03-07,Sort,1055.06,197633
2026-03-08,Pack,469.24,262570
2026-03-08,Pick,1789.3,267012
2026-03-08,Potvrdenie,573.83,52193
2026-03-08,Príjem,681.69,53046
2026-03-08,Sort,1560.62,252006
2026-03-09,Pack,481.66,262636
2026-03-09,Pick,1814.15,261177
2026-03-09,Potvrdenie,595.21,53293
2026-03-09,Príjem,652.66,57827
2026-03-09,Sort,1567.72,253161
2026-03-10,Pack,478.15,254975
2026-03-10,Pick,1705.36,255297
2026-03-10,Potvrdenie,641.43,54743
2026-03-10,Príjem,644.35,56657
2026-03-10,Sort,1600.38,249098
2026-03-11,Pack,418.97,261052
2026-03-11,Pick,1704.67,260207
2026-03-11,Potvrdenie,541.17,46846
2026-03-11,Príjem,628.62,54050
2026-03-11,Sort,1505.03,253716
2026-03-12,Pack,408.47,227263
2026-03-12,Pick,1538.33,223851
2026-03-12,Potvrdenie,1041.06,75817
2026-03-12,Príjem,778.02,68547
2026-03-12,Sort,1410.52,219392
2026-03-13,Pack,350.68,204145
2026-03-13,Pick,1387.81,205963
2026-03-13,Potvrdenie,817.89,62880
2026-03-13,Príjem,492.63,47533
2026-03-13,Sort,1121.28,197681
2026-03-14,Pack,402.36,231852
2026-03-14,Pick,1612.18,242156
2026-03-14,Potvrdenie,526.28,38798
2026-03-14,Príjem,330.86,32597
2026-03-14,Sort,1065.43,220348
2026-03-15,Pack,439.63,259638
2026-03-15,Pick,1705.46,257766
2026-03-15,Potvrdenie,575.05,47976
2026-03-15,Príjem,577.97,49183
2026-03-15,Sort,1518.27,254717
2026-03-16,Pack,435.79,256807
2026-03-16,Pick,1742.61,255501
2026-03-16,Potvrdenie,737.28,65548
2026-03-16,Príjem,720.85,65591
2026-03-16,Sort,1519.33,247734
2026-03-17,Pack,432.24,242888
2026-03-17,Pick,1611.15,241556
2026-03-17,Potvrdenie,710.11,61419
2026-03-17,Príjem,684.98,60199
2026-03-17,Sort,1402.68,234648
2026-03-18,Pack,409,241718
2026-03-18,Pick,1673.95,239027
2026-03-18,Potvrdenie,689.74,61614
2026-03-18,Príjem,711.98,60589
2026-03-18,Sort,1426.63,227658
2026-03-19,Pack,355.98,206847
2026-03-19,Pick,1442.52,205141
2026-03-19,Potvrdenie,833.83,64642
2026-03-19,Príjem,678.37,58765
2026-03-19,Sort,1461.6,205478
2026-03-20,Pack,301.13,191091
2026-03-20,Pick,1310.34,192731
2026-03-20,Potvrdenie,842.31,56230
2026-03-20,Príjem,415.59,37655
2026-03-20,Sort,1056.31,183649
2026-03-21,Pack,360.28,207119
2026-03-21,Pick,1452.87,210752
2026-03-21,Potvrdenie,473.85,28800
2026-03-21,Príjem,258.92,24696
2026-03-21,Sort,1020.46,198276
2026-03-22,Pack,428.14,240972
2026-03-22,Pick,1702.77,243398
2026-03-22,Potvrdenie,660.91,56421
2026-03-22,Príjem,690.64,56852
2026-03-22,Sort,1464.83,232363
2026-03-23,Pack,387.23,225409
2026-03-23,Pick,1680.45,223296
2026-03-23,Potvrdenie,683.43,59226
2026-03-23,Príjem,680.11,61666
2026-03-23,Sort,1369.7,214796
2026-03-24,Pack,349.36,208301
2026-03-24,Pick,1489.66,209308
2026-03-24,Potvrdenie,787.69,61989
2026-03-24,Príjem,662.61,58286
2026-03-24,Sort,1378.93,204880
2026-03-25,Pack,362.25,219529
2026-03-25,Pick,1597.6,219163
2026-03-25,Potvrdenie,587.22,44568
2026-03-25,Príjem,570.28,46595
2026-03-25,Sort,1299.6,212996
2026-03-26,Pack,349.87,191538
2026-03-26,Pick,1381.89,187886
2026-03-26,Potvrdenie,702.3,57890
2026-03-26,Príjem,657.63,53462
2026-03-26,Sort,1260.45,184286
2026-03-27,Pack,297.5,169677
2026-03-27,Pick,1228.45,171815
2026-03-27,Potvrdenie,557.47,42932
2026-03-27,Príjem,457.87,40972
2026-03-27,Sort,958.71,162268
2026-03-28,Pack,338.32,196103
2026-03-28,Pick,1416.97,199028
2026-03-28,Potvrdenie,436.01,34410
2026-03-28,Príjem,345.57,31299
2026-03-28,Sort,983.86,187947
2026-03-29,Pack,391.94,236711
2026-03-29,Pick,1728.07,242437
2026-03-29,Potvrdenie,617.75,48937
2026-03-29,Príjem,610.85,49396
2026-03-29,Sort,1402.25,229162
2026-03-30,Pack,374.85,231402
2026-03-30,Pick,1664.41,229234
2026-03-30,Potvrdenie,543.11,48154
2026-03-30,Príjem,611.77,51002
2026-03-30,Sort,1350.44,223652
2026-03-31,Pack,398.64,219531
2026-03-31,Pick,1669.87,216464
2026-03-31,Potvrdenie,427.58,37570
2026-03-31,Príjem,605.09,44910
2026-03-31,Sort,1296.82,210871
2026-04-01,Pack,313.24,179767
2026-04-01,Pick,1349.66,177404
2026-04-01,Potvrdenie,719.64,57503
2026-04-01,Príjem,725.4,51537
2026-04-01,Sort,1274.51,174868
2026-04-02,Pack,214.4,163320
2026-04-02,Pick,1233.51,164495
2026-04-02,Potvrdenie,795.63,50891
2026-04-02,Príjem,484.2,40846
2026-04-02,Sort,976.01,159220
2026-04-03,Pack,266.86,143002
2026-04-03,Pick,1044.08,142344
2026-04-03,Potvrdenie,712.41,51688
2026-04-03,Príjem,366.51,36273
2026-04-03,Sort,860.32,138299
2026-04-04,Pack,181.03,120509
2026-04-04,Pick,936.26,122069
2026-04-04,Potvrdenie,569.73,40531
2026-04-04,Príjem,333.74,27806
2026-04-04,Sort,735.84,117870
2026-04-05,Pack,237.4,177213
2026-04-05,Pick,1314.27,188335
2026-04-05,Potvrdenie,421.02,33023
2026-04-05,Príjem,371.9,29223
2026-04-05,Sort,881.35,173562
2026-04-06,Pack,437.93,259864
2026-04-06,Pick,1920.38,256567
2026-04-06,Potvrdenie,581.04,48580
2026-04-06,Príjem,627.23,51331
2026-04-06,Sort,1609.45,249688
2026-04-07,Pack,434.55,259207
2026-04-07,Pick,1982.63,259454
2026-04-07,Potvrdenie,544.48,51257
2026-04-07,Príjem,626.52,55866
2026-04-07,Sort,1520.04,250530
2026-04-08,Pack,392.71,257910
2026-04-08,Pick,1719.22,253923
2026-04-08,Potvrdenie,406.17,39956
2026-04-08,Príjem,544.14,45934
2026-04-08,Sort,1331.51,248359
2026-04-09,Pack,374.71,265973
2026-04-09,Pick,1937,264903
2026-04-09,Potvrdenie,433.92,38363
2026-04-09,Príjem,617.51,46538
2026-04-09,Sort,1490.97,254955
2026-04-10,Pack,360.44,220804
2026-04-10,Pick,1642.07,223462
2026-04-10,Potvrdenie,417.1,41427
2026-04-10,Príjem,512.88,43148
2026-04-10,Sort,1254.97,214617
2026-04-11,Pack,380.25,234299
2026-04-11,Pick,1737.83,236954
2026-04-11,Potvrdenie,415.35,41840
2026-04-11,Príjem,428.8,38894
2026-04-11,Sort,1217.72,224472
2026-04-12,Pack,476.06,280418
2026-04-12,Pick,2007.07,284474
2026-04-12,Potvrdenie,463.37,39623
2026-04-12,Príjem,573.28,43882
2026-04-12,Sort,1661.75,270134
2026-04-13,Pack,485.21,266200
2026-04-13,Pick,2000.92,274224
2026-04-13,Potvrdenie,579.67,45860
2026-04-13,Príjem,594.6,48317
2026-04-13,Sort,1613.4,257963
2026-04-14,Pack,487.4,281877
