datum,hodina,joblines
2026-08-09,6,487
2026-08-09,7,441
2026-08-09,8,409
2026-08-09,9,329
2026-08-09,10,439
2026-08-09,11,379
2026-08-09,12,476
2026-08-09,13,552
2026-08-09,14,317
2026-08-09,15,306
2026-08-09,16,438
2026-08-09,17,236
2026-08-09,18,320
2026-08-09,19,580
2026-08-09,20,276
2026-08-09,21,367
2026-08-09,22,293
2026-08-09,23,236
2026-08-10,0,163
2026-08-10,1,261
2026-08-10,2,383
2026-08-10,3,221
2026-08-10,4,316
2026-08-10,5,374
2026-08-10,6,329
2026-08-10,7,468
2026-08-10,8,346
2026-08-10,9,293
2026-08-10,10,288
2026-08-10,11,491
2026-08-10,12,284
2026-08-10,13,471
2026-08-10,14,319
2026-08-10,15,614
2026-08-10,16,494
2026-08-10,17,156
2026-08-10,18,356
2026-08-10,19,315
2026-08-10,20,316
2026-08-10,21,287
2026-08-10,22,351
2026-08-10,23,171
2026-08-11,0,308
2026-08-11,1,290
2026-08-11,2,315
2026-08-11,3,125
2026-08-11,4,296
2026-08-11,5,432
2026-08-11,6,524
2026-08-11,7,629
2026-08-11,8,429
2026-08-11,9,532
2026-08-11,10,513
2026-08-11,11,261
2026-08-11,12,381
2026-08-11,13,433
2026-08-11,14,432
2026-08-11,15,469
2026-08-11,16,421
2026-08-11,17,138
2026-08-11,18,178
2026-08-11,19,345
2026-08-11,20,179
2026-08-11,21,283
2026-08-11,22,273
2026-08-11,23,296
2026-08-12,0,171
2026-08-12,1,238
2026-08-12,2,149
2026-08-12,3,128
2026-08-12,4,117
2026-08-12,5,377
2026-08-12,6,755
2026-08-12,7,1146
2026-08-12,8,385
2026-08-12,9,522
2026-08-12,10,581
2026-08-12,11,444
2026-08-12,12,527
2026-08-12,13,539
2026-08-12,14,562
2026-08-12,15,669
2026-08-12,16,756
2026-08-12,17,187
2026-08-12,18,213
2026-08-12,19,191
2026-08-12,20,183
2026-08-12,21,154
2026-08-12,22,164
2026-08-12,23,246
2026-08-13,0,161
2026-08-13,1,147
2026-08-13,2,149
2026-08-13,3,164
2026-08-13,4,239
2026-08-13,5,279
2026-08-13,6,615
2026-08-13,7,546
2026-08-13,8,392
2026-08-13,9,537
2026-08-13,10,558
2026-08-13,11,359
2026-08-13,12,593
2026-08-13,13,642
2026-08-13,14,453
2026-08-13,15,456
2026-08-13,16,587
2026-08-13,17,341
2026-08-13,18,322
2026-08-13,19,282
2026-08-13,20,231
2026-08-13,21,303
2026-08-13,22,275
2026-08-13,23,180
2026-08-14,0,44
2026-08-14,1,294
2026-08-14,2,306
2026-08-14,3,175
2026-08-14,4,308
2026-08-14,5,110
2026-08-14,6,390
2026-08-14,7,345
2026-08-14,8,331
2026-08-14,9,238
2026-08-14,10,290
2026-08-14,11,449
2026-08-14,12,382
2026-08-14,13,393
2026-08-14,14,269
2026-08-14,15,400
2026-08-14,16,462
2026-08-14,17,322
2026-08-14,18,281
2026-08-14,19,277
2026-08-14,20,296
2026-08-14,21,278
2026-08-14,22,302
2026-08-14,23,138
2026-08-15,0,198
2026-08-15,1,202
2026-08-15,2,177
2026-08-15,3,204
2026-08-15,4,188
2026-08-15,5,184
2026-08-15,6,282
2026-08-15,7,256
2026-08-15,8,269
2026-08-15,9,198
2026-08-15,10,228
2026-08-15,11,257
2026-08-15,12,312
2026-08-15,13,291
2026-08-15,14,163
2026-08-15,15,253
2026-08-15,16,214
2026-08-15,17,321
2026-08-15,18,290
2026-08-15,19,289
2026-08-15,20,417
2026-08-15,21,287
2026-08-15,22,237
2026-08-15,23,311
2026-08-16,0,236
2026-08-16,1,302
2026-08-16,2,257
2026-08-16,3,178
2026-08-16,4,314
2026-08-16,5,284
2026-08-16,6,346
2026-08-16,7,324
2026-08-16,8,217
2026-08-16,9,289
2026-08-16,10,365
2026-08-16,11,245
2026-08-16,12,273
2026-08-16,13,456
2026-08-16,14,203
2026-08-16,15,432
2026-08-16,16,275
2026-08-16,17,141
2026-08-16,18,294
2026-08-16,19,264
2026-08-16,20,227
2026-08-16,21,190
2026-08-16,22,288
2026-08-16,23,149
2026-08-17,0,249
2026-08-17,1,244
2026-08-17,2,283
2026-08-17,3,268
2026-08-17,4,196
2026-08-17,5,288
2026-08-17,6,468
2026-08-17,7,111
