nazov,od,do,typ,koeficient
Alza dny február,2026-02-02,2026-02-28,Alza dni,1.05
AlzaPlus+ zľavy február,2026-02-17,2026-02-23,AlzaPlus+ zľavy,1.00
Mega slevy marec,2026-03-02,2026-03-23,Mega zľavy,1.00
Alza dny apríl,2026-04-07,2026-04-27,Alza dni,1.05
Alza dny máj,2026-05-04,2026-05-18,Alza dni,1.05
AlzaPlus+ zľavy máj,2026-05-19,2026-05-24,AlzaPlus+ zľavy,1.00
Alza dni mini – Deň detí,2026-05-25,2026-05-31,Alza dni,1.05
Alza dny jún,2026-06-01,2026-06-22,Alza dni,1.05
Alza dni – letná výbava,2026-06-23,2026-07-05,Alza dni,1.00
Mega zľavy júl,2026-07-06,2026-07-27,Mega zľavy,1.00
Alza dni august,2026-08-10,2026-08-23,Alza dni,1.26
