datum,typ,popis,hodiny
2025-09-01,Nábeh skladu / rozbeh prevádzky,Postupné nábehové obdobie po otvorení skladu 1. 9. 2025,
2025-09-02,Nábeh skladu / rozbeh prevádzky,Postupné nábehové obdobie po otvorení skladu 1. 9. 2025,
2025-09-03,Nábeh skladu / rozbeh prevádzky,Postupné nábehové obdobie po otvorení skladu 1. 9. 2025,
2025-09-04,Nábeh skladu / rozbeh prevádzky,Postupné nábehové obdobie po otvorení skladu 1. 9. 2025,
2025-09-05,Nábeh skladu / rozbeh prevádzky,Postupné nábehové obdobie po otvorení skladu 1. 9. 2025,
2025-09-06,Nábeh skladu / rozbeh prevádzky,Postupné nábehové obdobie po otvorení skladu 1. 9. 2025,
2025-09-07,Nábeh skladu / rozbeh prevádzky,Postupné nábehové obdobie po otvorení skladu 1. 9. 2025,
2025-09-08,Nábeh skladu / rozbeh prevádzky,Postupné nábehové obdobie po otvorení skladu 1. 9. 2025,
2025-09-09,Nábeh skladu / rozbeh prevádzky,Postupné nábehové obdobie po otvorení skladu 1. 9. 2025,
2025-09-10,Nábeh skladu / rozbeh prevádzky,Postupné nábehové obdobie po otvorení skladu 1. 9. 2025,
2025-09-11,Nábeh skladu / rozbeh prevádzky,Postupné nábehové obdobie po otvorení skladu 1. 9. 2025,
2025-09-12,Nábeh skladu / rozbeh prevádzky,Postupné nábehové obdobie po otvorení skladu 1. 9. 2025,
2025-09-13,Nábeh skladu / rozbeh prevádzky,Postupné nábehové obdobie po otvorení skladu 1. 9. 2025,
2025-09-14,Nábeh skladu / rozbeh prevádzky,Postupné nábehové obdobie po otvorení skladu 1. 9. 2025,
2025-09-15,Nábeh skladu / rozbeh prevádzky,Postupné nábehové obdobie po otvorení skladu 1. 9. 2025,
2025-09-16,Nábeh skladu / rozbeh prevádzky,Postupné nábehové obdobie po otvorení skladu 1. 9. 2025,
2025-09-17,Nábeh skladu / rozbeh prevádzky,Postupné nábehové obdobie po otvorení skladu 1. 9. 2025,
2025-09-18,Nábeh skladu / rozbeh prevádzky,Postupné nábehové obdobie po otvorení skladu 1. 9. 2025,
2025-09-19,Nábeh skladu / rozbeh prevádzky,Postupné nábehové obdobie po otvorení skladu 1. 9. 2025,
2025-09-20,Nábeh skladu / rozbeh prevádzky,Postupné nábehové obdobie po otvorení skladu 1. 9. 2025,
2025-09-21,Nábeh skladu / rozbeh prevádzky,Postupné nábehové obdobie po otvorení skladu 1. 9. 2025,
2025-09-22,Nábeh skladu / rozbeh prevádzky,Postupné nábehové obdobie po otvorení skladu 1. 9. 2025,
2025-09-23,Nábeh skladu / rozbeh prevádzky,Postupné nábehové obdobie po otvorení skladu 1. 9. 2025,
2025-09-24,Nábeh skladu / rozbeh prevádzky,Postupné nábehové obdobie po otvorení skladu 1. 9. 2025,
2025-09-25,Nábeh skladu / rozbeh prevádzky,Postupné nábehové obdobie po otvorení skladu 1. 9. 2025,
2025-09-26,Nábeh skladu / rozbeh prevádzky,Postupné nábehové obdobie po otvorení skladu 1. 9. 2025,
2025-09-27,Nábeh skladu / rozbeh prevádzky,Postupné nábehové obdobie po otvorení skladu 1. 9. 2025,
2025-09-28,Nábeh skladu / rozbeh prevádzky,Postupné nábehové obdobie po otvorení skladu 1. 9. 2025,
2025-09-29,Nábeh skladu / rozbeh prevádzky,Postupné nábehové obdobie po otvorení skladu 1. 9. 2025,
2025-09-30,Nábeh skladu / rozbeh prevádzky,Postupné nábehové obdobie po otvorení skladu 1. 9. 2025,
2025-10-01,Nábeh skladu / rozbeh prevádzky,Postupné nábehové obdobie po otvorení skladu 1. 9. 2025,
2025-10-02,Nábeh skladu / rozbeh prevádzky,Postupné nábehové obdobie po otvorení skladu 1. 9. 2025,
2025-10-03,Nábeh skladu / rozbeh prevádzky,Postupné nábehové obdobie po otvorení skladu 1. 9. 2025,
2025-10-04,Nábeh skladu / rozbeh prevádzky,Postupné nábehové obdobie po otvorení skladu 1. 9. 2025,
2025-10-05,Nábeh skladu / rozbeh prevádzky,Postupné nábehové obdobie po otvorení skladu 1. 9. 2025,
2025-10-06,Nábeh skladu / rozbeh prevádzky,Postupné nábehové obdobie po otvorení skladu 1. 9. 2025,
2025-10-07,Nábeh skladu / rozbeh prevádzky,Postupné nábehové obdobie po otvorení skladu 1. 9. 2025,
2025-10-08,Nábeh skladu / rozbeh prevádzky,Postupné nábehové obdobie po otvorení skladu 1. 9. 2025,
2025-10-09,Nábeh skladu / rozbeh prevádzky,Postupné nábehové obdobie po otvorení skladu 1. 9. 2025,
2025-10-10,Nábeh skladu / rozbeh prevádzky,Postupné nábehové obdobie po otvorení skladu 1. 9. 2025,
2025-10-11,Nábeh skladu / rozbeh prevádzky,Postupné nábehové obdobie po otvorení skladu 1. 9. 2025,
2025-10-12,Nábeh skladu / rozbeh prevádzky,Postupné nábehové obdobie po otvorení skladu 1. 9. 2025,
2025-10-13,Nábeh skladu / rozbeh prevádzky,Postupné nábehové obdobie po otvorení skladu 1. 9. 2025,
2025-10-14,Nábeh skladu / rozbeh prevádzky,Postupné nábehové obdobie po otvorení skladu 1. 9. 2025,
2026-04-04,Sviatok / skrátená prevádzka,Veľká noc – Biela sobota,
2026-04-05,Sviatok / skrátená prevádzka,Veľká noc – nedeľa,
2026-04-06,Sviatok / skrátená prevádzka,Veľkonočný pondelok,
